HSMID	X	Y	OBLIKA IJS	TIP PRIKLJUČKA	ID VS	UPRAVLJANJE
11616500	167399	576345	NEZ		99	0
11616518	167394	576385	JAV	1	1633	1
11616534	167505	576500	DRUG	1	99	0
16171506	167499	576520	JAV	1	1633	1
19130509	167483	576630	JAV	1	1633	1
11616542	167629	576469	DRUG	1	99	0
11616569	167587	576367	JAV	1	1633	1
16171492	167604	576381	JAV	1	1633	1
19130851	166993	575667	JAV	1	1633	1
11616097	166993	575625	JAV	1	1633	1
11616119	166987	575558	JAV	1	1633	1
11616127	166633	575456	JAV	1	1633	1
11616135	166373	575507	DRUG	1	99	0
11616151	166216	575239	JAV	1	1633	1
11616143	166357	575297	JAV	1	1633	1
11589022	170965	576243	JAV	3	1633	1
11589111	171038	576256	JAV	3	1633	1
11589120	171066	576237	JAV	1	1633	1
11589138	171090	576216	JAV	1	1633	1
11589146	171112	576201	JAV	1	1633	1
11589154	171131	576188	JAV	1	1633	1
11589049	170780	576216	JAV	1	1633	1
11589162	171148	576173	NEZ		99	0
11589189	171162	576185	JAV	1	1633	1
11589197	171105	576134	JAV	3	1633	1
11589219	171202	576149	JAV	1	1633	1
11589227	171165	576129	JAV	3	1633	1
11589235	171220	576129	JAV	1	1633	1
11589243	171198	576107	JAV	1	1633	1
11589251	171248	576117	JAV	1	1633	1
11589260	171249	576058	NEZ		99	0
11589057	171005	576233	JAV	1	1633	1
11589278	171263	576105	JAV	1	1633	1
11589286	171270	576034	JAV	1	1633	1
11589294	171277	576096	JAV	1	1633	1
11589308	171301	576036	NEZ		99	0
11589316	171300	576074	JAV	1	1633	1
11589324	171324	576055	JAV	1	1633	1
11589332	171338	576045	JAV	1	1633	1
11589065	170795	576225	JAV	3	1633	1
11589073	171023	576220	JAV	1	1633	1
11589081	170806	576237	JAV	3	1633	1
11589090	171093	576181	JAV	1	1633	1
11589103	170841	576267	JAV	1	1633	1
11589359	171025	576037	NEZ		99	0
11589448	170847	576095	DRUG	3	99	0
11589456	170911	576116	JAV	2	1633	1
11589464	170851	576116	JAV	3	1633	1
11589472	170872	576133	JAV	2	1633	1
11589499	170834	576126	JAV	1	1633	1
11589502	170832	576176	JAV	3	1633	1
11589529	170826	576096	JAV	3	1633	1
11589537	170775	576212	JAV	3	1633	1
11589545	170770	576115	DRUG	1	99	0
11589553	170768	576221	JAV	3	1633	1
11589367	170927	576064	JAV	3	1633	1
11589561	170812	576142	JAV	1	1633	1
11589570	170751	576239	JAV	3	1633	1
11589588	170799	576151	JAV	3	1633	1
11589596	170720	576257	JAV	3	1633	1
11589600	170790	576159	JAV	1	1633	1
11589618	170690	576274	JAV	2	1633	1
11589626	170693	576236	JAV	3	1633	1
11589634	170673	576291	JAV	3	1633	1
11589642	170666	576254	JAV	1	1633	1
11589669	170659	576302	JAV	2	1633	1
11589375	170965	576071	JAV	3	1633	1
11589677	170640	576272	JAV	1	1633	1
11589685	170641	576322	JAV	1	1633	1
11589693	170613	576292	JAV	1	1633	1
11589707	170612	576321	DRUG	1	99	0
11589715	170595	576299	JAV	3	1633	1
11589723	170591	576331	DRUG	1	99	0
11589731	170549	576318	JAV	1	1633	1
19120244	170534	576328	JAV	3	1633	1
11589740	170567	576342	DRUG	1	99	0
11589758	170518	576339	JAV	1	1633	1
11589766	170548	576353	DRUG	1	99	0
11589383	170907	576078	NEZ		99	0
11589774	170419	576344	JAV	2	1633	1
11589782	170528	576364	DRUG	1	99	0
11589804	170357	576399	JAV	3	1633	1
11589812	170492	576380	JAV	1	1633	1
11589839	170510	576408	JAV	1	1633	1
11589847	170342	576409	JAV	3	1633	1
11589855	170473	576388	JAV	1	1633	1
11589863	170311	576422	JAV	3	1633	1
11589871	170383	576421	JAV	1	1633	1
11589880	170293	576423	JAV	3	1633	1
11589898	170337	576448	JAV	1	1633	1
11589391	170947	576080	JAV	1	1633	1
11589901	170325	576451	JAV	1	1633	1
11589910	170315	576459	NEZ	1	99	0
11589928	170297	576470	JAV	3	1633	1
11589936	170270	576470	JAV	1	1633	1
11589405	170887	576090	JAV	3	1633	1
11589413	170943	576083	JAV	1	1633	1
11589421	170868	576101	JAV	1	1633	1
11589430	170933	576089	JAV	2	1633	1
11589944	169795	576283	JAV	1	1633	1
11590039	169859	576191	JAV	1	1633	1
11589952	169858	576293	JAV	1	1633	1
11589979	169767	576279	JAV	1	1633	1
11589987	169855	576272	JAV	1	1633	1
11589995	169819	576265	JAV	1	1633	1
11590004	169892	576220	JAV	3	1633	1
11590012	169899	576202	JAV	1	1633	1
11617654	169597	571804	NEZ		99	0
11617760	169181	572068	JAV	1	1633	1
11617778	169188	572051	NEZ		99	0
11617786	169149	572060	JAV	1	1633	1
19133192	169148	572156	JAV	1	1633	1
11617794	169098	572055	NEZ		99	0
11617808	169033	572051	JAV	1	1633	1
11617816	169022	572046	JAV	1	1633	1
11617824	169002	572044	JAV	1	1633	1
11617832	168961	572052	JAV	1	1633	1
19135004	168945	572046	JAV	1	1633	1
11617859	168898	572044	NEZ		99	0
19131483	168882	572095	JAV	1	1633	1
11617867	168842	572212	JAV	1	1633	1
19126021	169545	571795	JAV	1	1633	1
19132072	169599	571810	JAV	1	1633	1
11617662	169596	571838	JAV	1	1633	1
11617875	168843	572064	JAV	1	1633	1
19120970	168843	572090	JAV	1	1633	1
11617883	168834	572060	DRUG	1	99	0
16354805	168828	572077	JAV	1	1633	1
11617891	168822	572037	JAV	1	1633	1
11617905	168779	572034	JAV	1	1633	1
19125246	168719	572063	JAV	1	1633	1
11617913	168634	572267	DRUG	1	99	0
19125815	168695	572077	JAV	1	1633	1
19127249	168703	572035	JAV	1	1633	1
11617921	168648	572067	JAV	1	1633	1
11617930	168492	571921	JAV	1	1633	1
11617948	168667	571657	DRUG	1	99	0
11617956	168681	571695	JAV	1	1633	1
11617689	169404	572103	JAV	1	1633	1
11617964	168737	571733	JAV	1	1633	1
11617972	168824	571764	JAV	1	1633	1
11617999	168832	571775	NEZ		99	0
11618006	168842	571729	JAV	1	1633	1
11618014	168876	571740	JAV	1	1633	1
19125149	168912	571750	JAV	1	1633	1
11618022	169006	571902	JAV	1	1633	1
11618049	168975	571885	JAV	1	1633	1
11618057	168948	571839	JAV	1	1633	1
11618065	168940	571810	JAV	1	1633	1
11618073	168944	571782	JAV	1	1633	1
11617697	169420	572058	JAV	1	1633	1
11618081	169019	571737	JAV	1	1633	1
11618090	169031	571645	JAV	1	1633	1
11618103	169082	571647	JAV	1	1633	1
11618111	169063	571742	JAV	1	1633	1
11618120	169082	571745	JAV	1	1633	1
11618138	169118	571718	JAV	1	1633	1
11618146	169134	571763	NEZ		99	0
11618154	169227	571764	DRUG	1	99	0
11618162	169174	571597	JAV	1	1633	1
11617719	169355	572016	JAV	1	1633	1
11618197	169047	571193	JAV	1	1633	1
11618227	168979	570997	JAV	1	1633	1
11618235	169027	570783	JAV	1	1633	1
19125602	168665	570658	DRUG	1	99	0
11618251	168945	570486	NEZ		99	0
11618260	169090	570437	NEZ		99	0
11618278	169120	570404	DRUG	1	99	0
11618286	169165	570360	JAV	1	1633	1
11617727	169352	571950	JAV	1	1633	1
11618294	169164	570317	JAV	1	1633	1
11618308	169191	570190	JAV	1	1633	1
11618316	169194	570155	JAV	1	1633	1
11618324	169187	570140	NEZ		99	0
11618332	169206	570110	NEZ		99	0
11618359	169153	569705	NEZ		99	0
11618367	169104	569496	JAV	1	1633	1
11618375	169123	569434	JAV	1	1633	1
11617735	169329	572006	JAV	3	1633	1
11618391	169146	569386	JAV	1	1633	1
11618405	169140	569367	JAV	1	1633	1
11618413	169154	569347	NEZ		99	0
11618421	169172	569317	NEZ		99	0
19130398	169250	572038	JAV	1	1633	1
11617743	169282	572041	NEZ		99	0
11592988	170366	575907	JAV	1	1633	1
11592996	170387	575933	JAV	1	1633	1
11593003	170402	575958	JAV	1	1633	1
11619002	171288	575256	JAV	1	1633	1
11619100	171281	574743	DRUG	1	99	0
11619118	171258	574696	JAV	1	1633	1
11619126	171248	574649	JAV	1	1633	1
11619134	171235	574619	NEZ		99	0
11619142	171228	574609	JAV	1	1633	1
11619169	171204	574591	JAV	1	1633	1
11619185	171161	574621	JAV	1	1633	1
11619193	171173	574600	JAV	1	1633	1
19131327	171299	575259	JAV	1	1633	1
11619029	171266	574959	JAV	1	1633	1
