FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C
1755;HS;11587445;9; ;9;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575634;171340
1756;HS;11587453;10; ;10;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575702;171264
1757;HS;11587461;11; ;11;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575648;171317
1758;HS;11587470;12; ;12;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575725;171265
1759;HS;11587488;13; ;13;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575660;171296
1760;HS;11587496;14; ;14;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575747;171280
1761;HS;11587500;15; ;15;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575698;171295
1762;HS;11587518;16; ;16;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575759;171307
1763;HS;11587526;17; ;17;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575722;171310
1764;HS;11587542;19; ;19;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575726;171336
1765;HS;11587569;20; ;20;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575750;171362
1766;HS;11587577;21; ;21;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575700;171329
1767;HS;11587585;22; ;22;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575734;171391
1768;HS;11587593;23; ;23;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575722;171363
1769;HS;11587607;24; ;24;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575688;171439
1770;HS;11587615;25; ;25;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575709;171380
1771;HS;11587623;26; ;26;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575558;171481
1772;HS;11587631;27; ;27;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575679;171408
1773;HS;11587658;29; ;29;16184756;10092752;11026826;21429392;10253233;01.01.1995;01.01.1995;V;575636;171426
1774;HS;11596118;19;C;19C;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;575484;170338
1775;HS;11596134;20; ;20;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;575567;170556
1776;HS;11596142;21; ;21;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;575462;170726
1777;HS;11596169;22; ;22;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;575486;170528
1778;HS;11596177;23; ;23;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;575439;170532
1779;HS;11596185;24; ;24;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;575392;170515
1780;HS;11596193;25; ;25;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;575163;170584
1781;HS;11596215;30; ;30;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;575095;170381
1782;HS;11596240;32; ;32;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;574806;170427
1783;HS;11619428;42; ;42;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573980;171255
1784;HS;11619436;43; ;43;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573933;171292
1785;HS;11619444;44; ;44;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573890;171248
1786;HS;11619452;45; ;45;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573729;171223
1787;HS;11619479;46; ;46;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573711;171294
1788;HS;11619495;48; ;48;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573654;171214
1789;HS;11619525;51; ;51;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573646;171261
1790;HS;11619533;52; ;52;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573582;171255
1791;HS;11619541;53; ;53;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573573;171258
1792;HS;11619568;55; ;55;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573465;171399
1793;HS;11619584;57; ;57;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573394;171273
1794;HS;11619592;58; ;58;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573367;171253
1795;HS;11619606;59; ;59;16276120;10093252;11026826;21429392;10253039;01.01.1995;01.01.1995;V;573205;171145
1796;HS;11596231;32;A;32A;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;574733;170421
1797;HS;11596258;33; ;33;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;574699;170444
1798;HS;11596266;34; ;34;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;574632;170452
1799;HS;11596304;37; ;37;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;574291;170399
1800;HS;11596312;38; ;38;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;574213;170411
1801;HS;11596371;43; ;43;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;573947;170477
1802;HS;11596401;45; ;45;16275662;10092817;11026826;21429392;10252725;01.01.1995;01.01.1995;V;574392;170542
1803;HS;11596428;47; ;47;16275662;10092817;11026826;21429392;10252717;01.01.1995;01.01.1995;V;574376;170763
1804;HS;11596444;48; ;48;16275662;10092817;11026826;21429392;10252717;01.01.1995;01.01.1995;V;574437;170755
1805;HS;11596452;49; ;49;16275662;10092817;11026826;21429392;10252717;01.01.1995;01.01.1995;V;574707;170808
1806;HS;11596479;50; ;50;16275662;10092817;11026826;21429392;10252717;01.01.1995;01.01.1995;V;574739;170807
1807;HS;11596487;51; ;51;16275662;10092817;11026826;21429392;10252717;01.01.1995;01.01.1995;V;574869;170756
1808;HS;11598226;3; ;3;16275719;10092841;11026826;21432237;10255287;01.01.1995;01.01.1995;V;574575;160996
1809;HS;11598218;3;A;3A;16275719;10092841;11026826;21432237;10255287;01.01.1995;01.01.1995;V;574694;161059
1810;HS;11598242;5; ;5;16275719;10092841;11026826;21432237;10255287;01.01.1995;01.01.1995;V;574346;160914
1811;HS;11598277;7; ;7;16275719;10092841;11026826;21432237;10255287;01.01.1995;01.01.1995;V;574103;160946
1812;HS;11598285;8; ;8;16275719;10092841;11026826;21432237;10255287;01.01.1995;01.01.1995;V;574129;161032
1813;HS;11588719;26; ;26;16184829;10092752;11026826;21429392;10257239;01.01.1995;01.01.1995;V;577064;169747
1814;HS;11588727;27; ;27;16184829;10092752;11026826;21429392;10257239;01.01.1995;01.01.1995;V;577142;169829
1815;HS;11588735;28; ;28;16184829;10092752;11026826;21429392;10257239;01.01.1995;01.01.1995;V;576965;169618
1816;HS;11588743;29; ;29;16184829;10092752;11026826;21429392;10257239;01.01.1995;01.01.1995;V;577366;169515
1817;HS;11588751;30; ;30;16184829;10092752;11026826;21429392;10257239;01.01.1995;01.01.1995;V;577291;169494
1818;HS;11588760;31; ;31;16184829;10092752;11026826;21429392;10257239;01.01.1995;01.01.1995;V;577998;169245
1819;HS;11588778;32; ;32;16184829;10092752;11026826;21429392;10257239;01.01.1995;01.01.1995;V;577690;169296
1820;HS;11588794;1; ;1;16184837;10092752;11026826;21429392;10253128;01.01.1995;01.01.1995;V;576012;171096
