FID;ENOTA;PT_MID;PT_ID;PT_UIME;POV_KM2;D_OD;DV_OD;STATUS;Y_C;X_C
220;PT;21430196;1301;Krka;27,3899994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;481150;80760
221;PT;21430200;8296;Krmelj;11,0699997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;516250;95120
222;PT;21430218;4245;Kropa;7,2900000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;440180;129030
223;PT;21430226;8262;Kr;23,9899998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;544810;83420
224;PT;21430234;8270;Kr;60,4199982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;530980;91500
225;PT;21430242;9263;Kuzma;22,8700008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;582800;188580
226;PT;21430269;2318;Laporje;25,2800007;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;548820;132880
227;PT;21430277;3270;La;92,2200012;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;518800;112490
228;PT;21430285;1219;Laze v Tuhinju;59,9199982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;477480;119080
229;PT;21430293;2230;Lenart v Slov. goricah;35,5000000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;564170;159270
230;PT;21430315;4248;Lesce;9,8100004;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;437220;136150
231;PT;21430323;3261;Lesieno;30,9200001;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;541530;105670
232;PT;21430331;8273;Leskovec pri Krgkem;52,6199989;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;532510;88700
233;PT;21430340;2372;Libeliee;12,4200001;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;498330;162660
234;PT;21430366;2341;Limbui;16,9099998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;543830;157250
235;PT;21430374;1270;Litija;25,7999992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;487240;101380
236;PT;21430382;3202;Ljubeana;9,3000002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;525130;124310
237;PT;21430404;1000;Ljubljana;174,3800049;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;462070;101030
238;PT;21430412;1231;Ljubljana -  rnuke;18,1399994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;465190;104850
239;PT;21430439;1261;Ljubljana - Dobrunje;36,0800018;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;470070;99970
240;PT;21430447;1260;Ljubljana - Polje;12,5799999;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;466980;103550
241;PT;21430455;1210;Ljubljana - Pentvid;12,2700005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;459270;104730
242;PT;21430463;1211;Ljubljana - Pmartno;20,2900009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;459000;108450
243;PT;21430471;3333;Ljubno ob Savinji;79,1299973;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;487620;133970
244;PT;21430480;9240;Ljutomer;67,2699966;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;592650;153230
245;PT;21430498;3215;Lo;52,7799988;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;530780;129460
246;PT;21430510;5231;Log pod Mangartom;80,6500015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;392970;141150
247;PT;21430528;1358;Log pri Brezovici;12,1800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;449860;95900
248;PT;21430536;1370;Logatec;86,1399994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;440620;86120
249;PT;21430544;1434;Loka pri Zidanem Mostu;25,1200008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;521800;102080
250;PT;21430552;3223;Loka pri Zusmu;28,7000008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;536510;110960
251;PT;21430579;6219;Lokev;18,3500004;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;416501;58309
252;PT;21430587;1318;Lo;68,8399963;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;468450;62000
253;PT;21430595;2324;Lovrenc na Dravskem polju;23,8700008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;562020;137980
254;PT;21430609;2344;Lovrenc na Pohorju;70,0699997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;529850;154970
255;PT;21430617;3334;Lu;110,0000000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;480640;134740
256;PT;21430625;1225;Lukovica;39,5200005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;476370;113870
257;PT;21430633;9202;Ma;41,6399994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;587690;179150
258;PT;21430641;2322;Majkperk;31,6100006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;556924;132941
259;PT;21430650;2321;Makole;37,0000000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;551800;133070
260;PT;21430668;9243;Mala Nedelja;28,5499992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;584555;154089
261;PT;21430676;2229;Male nik;14,0400000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;553110;157210
262;PT;21430684;6273;Marezige;29,2800007;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;408820;39640
263;PT;21430692;2000;Maribor;61,8600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;549740;157810
264;PT;21430706;2206;Marjeta na Dravskem polju;13,2200003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;556740;145790
265;PT;21430714;2281;Markovci;29,7999992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;573850;142011
266;PT;21430722;9221;Martjanci;23,5599995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;591650;172070
267;PT;21430749;6242;Materija;54,8600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;422031;49001
268;PT;21430757;4211;Maveiie;13,6800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;452740;118990
269;PT;21430765;1215;Medvode;58,1899986;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;453775;113033
270;PT;21430773;1234;Menged;22,4200001;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;467010;113250
271;PT;21430781;8330;Metlika;54,3600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;525300;56430
272;PT;21430790;2392;Me;26,1499996;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;489140;152960
273;PT;21430803;2204;Miklav;16,3899994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;552170;150970
274;PT;21430811;2275;Miklav;19,9400005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;593351;148721
275;PT;21430820;5291;Miren;19,7000008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;392290;84490
276;PT;21430838;8233;Mirna;36,2999992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;501730;90090
277;PT;21430846;8216;Mirna Pep;47,6699982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;507170;79310
278;PT;21430854;2382;Mislinja;112,9100037;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;515220;144360
279;PT;21430862;4281;Mojstrana;111,3199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;415900;148500
280;PT;21430889;8230;Mokronog;25,0900002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;509750;90470
281;PT;21430897;1251;Moravne;49,9799995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;480580;110310
282;PT;21430919;9226;Moravske Toplice;23,6900005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;594300;172820
283;PT;21430927;5216;Most na Sooi;67,8099976;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;409326;116797
284;PT;21430935;1221;Motnik;22,6900005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;490910;121060
285;PT;21430943;3330;Mozirje;49,5499992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;497075;132663
286;PT;21430951;9000;Murska Sobota;63,4799995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;589380;169120
287;PT;21430960;2366;Muta;43,2000008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;508100;162730
288;PT;21430978;4202;Naklo;18,6000004;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;447779;125870
289;PT;21430986;3331;Nazarje;24,8199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;498800;130480
290;PT;21430994;1357;Notranje Gorice;13,1000004;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;453410;95760
291;PT;21431010;5000;Nova Gorica;27,5400009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;395200;91080
292;PT;21431028;1385;Nova Vas;76,9300003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;465910;73340
293;PT;21431036;8000;Novo mesto;151,2799988;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;513890;72720
294;PT;21431044;6243;Obrov;87,2399979;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;428350;52710
295;PT;21431052;9233;Odranci;6,9299998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;598100;160970
296;PT;21431079;2317;Oplotnica;70,0599976;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;535360;140890
297;PT;21431087;2312;Orehova vas;15,9300003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;549620;148290
298;PT;21431095;2270;Ormoo;33,7900009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;588600;141140
299;PT;21431796;1381;Rakek;30,6800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;448268;74155
300;PT;21431800;4283;Rateke Planica;26,5300007;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;401889;151291
301;PT;21431818;2390;Ravne na Koroakem;37,5499992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;497626;155521
302;PT;21431826;3332;Re;28,8999996;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;494620;131320
303;PT;21431834;5292;Renie;19,5499992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;393870;84120
304;PT;21431842;1310;Ribnica;66,7200012;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;479420;66100
305;PT;21431869;2364;Ribnica na Pohorju;63,2400017;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;523710;158290
306;PT;21431885;1314;Rob;45,6699982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;468330;74330
307;PT;21431893;5215;Ro;26,3400002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;399030;108750
308;PT;21431907;3250;Roganka Slatina;46,3199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;549232;117056
309;PT;21431915;9262;Roganovci;40,1500015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;579320;185120
310;PT;21431923;3252;Rogatec;43,8400002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;553870;124030
311;PT;21431931;1373;Rovte;49,4900017;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;438010;99150
312;PT;21431940;2342;Ru;43,7299995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;539900;155080
313;PT;21431958;1282;Sava;23,1399994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;491430;106120
314;PT;21431974;4227;Selca;53,1500015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;439000;114980
315;PT;21431982;2352;Selnica ob Dravi;40,6899986;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;534350;160050
316;PT;21432008;8333;Semii;146,5599976;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;514270;56720
317;PT;21432024;8281;Senovo;32,4300003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;535160;98500
318;PT;21432032;6224;Senove;57,5400009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;424250;63620
319;PT;21432059;8290;Sevnica;41,8800011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;523920;96160
320;PT;21432067;6210;Se;117,0000000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;412428;62746
321;PT;21432083;5283;Slap ob Idrijci;73,2699966;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;413500;110660
322;PT;21432091;2380;Slovenj Gradec;66,2200012;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;505580;154740
323;PT;21432105;2310;Slovenska Bistrica;53,3800011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;544600;138630
324;PT;21432113;3210;Slovenske Konjice;41,9099998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;532820;132830
325;PT;21432121;1216;Smlednik;15,3999996;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;456400;113380
326;PT;21432130;5232;So;155,3300018;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;395880;133380
327;PT;21432148;1317;Sodranica;45,9000015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;472080;68660
328;PT;21432156;3335;Solrava;102,3099976;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;476680;141830
329;PT;21432164;5250;Solkan;10,1599998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;396180;92050
330;PT;21432172;4229;Sorica;28,1299992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;425460;120420
331;PT;21432199;4225;Sovodenj;22,2800007;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;428080;104770
332;PT;21432202;5281;Spodnja Idrija;73,3300018;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;416450;102440
333;PT;21432229;2241;Spodnji Duplek;24,1900005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;557679;151521
334;PT;21432237;9245;Spodnji Ivanjci;31,4099998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;570920;164720
335;PT;21432245;2277;Sredijie ob Dravi;33,0000000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;594770;140330
336;PT;21432253;4267;Srednja vas v Bohinju;39,1199989;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;417580;128560
337;PT;21432261;8256;Sromlje;10,4600000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;544410;92320
338;PT;21432270;5224;Srpenica;40,0000000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;384050;130780
339;PT;21432288;1242;Stahovica;112,8600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;470640;123230
340;PT;21432296;1332;Stara Cerkev;121,9000015;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;488090;56890
341;PT;21432300;8342;Stari trg ob Kolpi;63,0000000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;506130;42960
342;PT;21432318;1386;Stari trg pri Lopu;166,8200073;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;459020;64770
343;PT;21432326;2205;Starie;18,1200008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;559330;147240
344;PT;21432342;2289;Stoperce;22,3600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;554634;129025
345;PT;21432369;8322;Stopire;3,7200000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;516310;69520
346;PT;21432377;3206;Stranice;15,0600004;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;528340;136410
347;PT;21432393;8351;Strana pri Novem mestu;32,0099983;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;509480;71440
348;PT;21432407;1313;Struge;37,1399994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;480920;72820
349;PT;21432415;8293;Studenec;30,5900002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;526790;93320
350;PT;21432423;8331;Suhor;22,5400009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;524460;61410
351;PT;21432440;2233;Sv. Ana v Slov. goricah;37,1699982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;566866;169207
352;PT;21432458;2353;Sv. Duh na Ostrem Vrhu;19,2199993;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;533350;161470
353;PT;21432474;9244;Sveti Jurij ob emavnici;56,7900009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;579560;162550
354;PT;21432482;3264;Sveti Jtefan;10,1800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;537195;113619
355;PT;21432504;2258;Sv.Tomat;37,4399986;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;581940;145470
356;PT;21432512;9204;Palovci;41,2000008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;595780;185520
357;PT;21432539;5261;Pempas;30,9200001;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;401550;88950
358;PT;21432547;5290;Pempeter pri Gorici;14,9899998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;394740;88030
359;PT;21432555;3311;Pempeter v Savinjski dolini;17,0200005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;511080;122500
360;PT;21432563;4208;Penpur;22,4200001;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;455871;122346
361;PT;21432571;2212;Pentilj v Slov. goricah;20,0400009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;553756;170271
362;PT;21432580;8297;Pentjan ;40,4399986;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;513160;94750
363;PT;21432598;2373;Pentjan  pri Dravogradu;24,1800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;502600;159160
364;PT;21432601;8310;Pentjernej;95,7900009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;520626;78848
365;PT;21432610;3230;Pentjur;49,2700005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;530920;119350
366;PT;21432628;3271;Pentrupert;16,6100006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;525860;113180
367;PT;21432636;8232;Pentrupert;42,1300011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;505249;93254
368;PT;21432644;1296;Pentvid pri Stiani;56,4199982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;487630;90480
369;PT;21432652;8275;Pkocjan;41,7299995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;523458;82435
370;PT;21432679;6281;Pkofije;13,5699997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;407370;48400
371;PT;21432687;4220;Pkofja Loka;109,5999985;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;452640;112640
372;PT;21432695;3211;Pkofja vas;8,9700003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;521870;123870
373;PT;21432709;1291;Pkofljica;45,1100006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;469640;88400
374;PT;21432717;6274;Pmarje;34,0999985;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;404180;39310
375;PT;21432725;1293;Pmarje - Sap;19,5499992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;470830;92100
376;PT;21432733;3240;Pmarje pri Jeliah;41,7900009;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;540340;120570
377;PT;21432741;8220;Pmarje ke Toplice;34,3199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;520320;78950
378;PT;21432750;2315;Pmartno na Pohorju;46,0000000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;543620;142280
379;PT;21432768;3341;Pmartno ob Dreti;22,7099991;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;490470;127120
380;PT;21432776;3327;Pmartno ob Paki;26,3600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;502130;130050
381;PT;21432784;1275;Pmartno pri Litiji;80,8899994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;488501;100001
382;PT;21432792;2383;Pmartno pri Slovenj Gradcu;36,8899994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;511640;147535
383;PT;21432814;3201;Pmartno v RoSni dolini;18,2999992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;520190;126860
384;PT;21432822;3325;Po;96,2699966;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;499710;138360
385;PT;21432849;6222;Ptanjel;47,7799988;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;413840;77800
386;PT;21432857;3220;Ptore;32,0099983;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;523190;117400
387;PT;21432865;3304;Tabor;34,7099991;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;502858;122648
388;PT;21432873;3221;Teharje;4,7900000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;524220;121430
389;PT;21432881;9251;Ti;38,8100014;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;580780;171960
390;PT;21432890;5220;Tolmin;142,6999969;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;402730;116510
391;PT;21432903;3326;Topolnica;6,4299998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;501840;140530
392;PT;21432911;2371;Trbonje;11,5699997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;507670;161150
393;PT;21432920;1420;Trbovlje;37,4799995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;504160;111730
394;PT;21432938;8231;Trebelno;48,3100014;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;511840;86700
395;PT;21432946;8210;Trebnje;54,3499985;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;501040;85130
396;PT;21432954;5252;Trnovo pri Gorici;70,2099991;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;407920;101150
397;PT;21432962;2254;Trnovska vas;21,9899998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;569250;153620
398;PT;21432989;1222;Trojane;22,8199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;488710;116230
399;PT;21432997;1236;Trzin;8,6199999;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;466770;110320
400;PT;21433004;4290;Tr;141,2899933;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;447180;135970
401;PT;21433012;8295;Tr;43,1899986;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;521520;92890
402;PT;21433039;1311;Turjak;27,0200005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;471020;84860
403;PT;21433047;9224;Turnik;23,8500004;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;601641;164783
404;PT;21433055;8323;Ur;40,0900002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;510628;65764
405;PT;21433063;1252;Va;27,8999996;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;485970;107530
406;PT;21433080;3320;Velenje;83,6299973;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;507135;139360
407;PT;21433098;8212;Velika Loka;30,1800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;496250;85900
408;PT;21433101;2274;Velika Nedelja;28,4099998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;585120;145930
409;PT;21433110;9225;Velika Polana;18,6800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;603630;159540
410;PT;21433128;1315;Velike Lalae;45,3100014;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;471470;72820
411;PT;21433136;8213;Veliki Gaber;20,3199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;493950;84130
412;PT;21433144;9241;Veriej;16,6299992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;592440;157130
413;PT;21433179;2284;Videm pri Ptuju;36,8600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;568580;139670
414;PT;21433187;8344;Vinica;87,9400024;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;516140;37670
415;PT;21433195;5271;Vipava;86,0800018;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;417290;81830
416;PT;21433209;4212;Visoko;5,2399998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;456700;124760
417;PT;21433217;1294;Vi;32,8499985;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;483250;88520
418;PT;21433225;3205;Vitanje;59,1899986;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;523220;137440
419;PT;21433241;2255;Vitomarci;16,9400005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;572070;153840
420;PT;21433250;1217;Vodice;29,9200001;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;461400;115930
421;PT;21433268;3212;Vojnik;28,5599995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;523880;127730
422;PT;21433276;5293;Volnja Draga;12,9499998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;400020;87610
423;PT;21433284;2232;Volijina;25,8400002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;562680;157280
424;PT;21433292;3305;Vransko;47,6199989;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;496650;122390
425;PT;21433306;6217;Vremski Britof;62,7000008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;424310;57240
426;PT;21433314;1360;Vrhnika;87,5599976;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;439690;89680
427;PT;21433322;2365;Vuhred;33,8699989;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;518510;161400
428;PT;21433349;2367;Vuzenica;48,2799988;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;509970;161090
429;PT;21433357;8292;Zabukovje;29,0699997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;526740;102520
430;PT;21433365;1410;Zagorje ob Savi;46,5200005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;501680;111930
431;PT;21433373;1303;Zagradec;61,4799995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;486400;80330
432;PT;21433381;2283;Zavra;19,2500000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;580940;138460
433;PT;21433390;8272;Zdole;16,5900002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;543890;92640
434;PT;21433403;4201;Zgornja Besnica;32,3400002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;448300;122850
435;PT;21433411;2242;Zgornja Korena;18,2199993;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;558650;152480
436;PT;21433420;2201;Zgornja Kungota;49,8800011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;547380;166280
437;PT;21433438;2316;Zgornja Lonnica;54,2599983;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;541820;137620
438;PT;21433446;2314;Zgornja Polskava;13,0500002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;547180;141530
439;PT;21433454;2213;Zgornja Velka;23,8799992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;561840;173130
