FID;ENOTA;PT_MID;PT_ID;PT_UIME;POV_KM2;D_OD;DV_OD;STATUS;Y_C;X_C
23;PT;21428566;5230;Bovec;91,4899979;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;388820;133540
24;PT;21428574;5295;Branik;31,6100006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;411820;79670
25;PT;21428582;3314;Braslov;36,4900017;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;503340;127150
26;PT;21428604;5223;Breginj;52,2200012;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;383130;124660
27;PT;21428612;8280;Brestanica;29,1599998;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;533830;95380
28;PT;21428639;2354;Bresternica;29,2800007;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;543770;161530
29;PT;21428655;4243;Brezje;8,2600002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;440240;132760
30;PT;21428663;1351;Brezovica pri Ljubljani;22,8400002;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;454600;97170
31;PT;21428671;8250;Brezice;36,6300011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;546320;84680
32;PT;21428680;4210;Brnik - Aerodrom;7,7900000;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;457810;120430
33;PT;21428698;8321;Brusnice;30,7000008;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;519910;73240
34;PT;21428701;3255;Bu;20,2099991;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;543180;107680
35;PT;21428710;8276;Bu;16,6499996;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;523930;87070
36;PT;21428728;9261;Cankova;30,5499992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;578180;175540
37;PT;21428736;3000;Celje;54,0499992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;520710;120700
38;PT;21428744;4207;Cerklje na Gorenjskem;69,8700027;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;460700;122870
39;PT;21428752;8263;Cerklje ob Krki;27,5499992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;543110;82480
40;PT;21428779;1380;Cerknica;107,9199982;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;450470;72660
41;PT;21428787;5282;Cerkno;142,9100037;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;422440;109840
42;PT;21428795;2236;Cerkvenjak;23,9699993;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;572465;160848
43;PT;21428809;2215;Cerkak;12,8599997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;552180;171100
44;PT;21428817;2326;Cirkovce;24,8799992;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;556380;142640
45;PT;21428825;2282;Cirkulane;31,8999996;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;578170;136530
46;PT;21428833;5273;Col;72,3000031;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;417600;86150
47;PT;21428841;1413;Pem;19,9699993;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;496495;113350
48;PT;21428850;5253;Pepovan;42,2299995;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;404780;100150
49;PT;21428868;9232;Prenvovci;34,8600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;599530;159780
50;PT;21428876;2393;Prna na Kororkem;155,8699951;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;488770;147310
51;PT;21428884;6275;Prni Kal;68,6399994;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;410760;45490
52;PT;21428892;3272;Rimske Toplice;32,3199997;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;517140;109620
53;PT;21428906;5274;Prni vrh nad Idrijo;69,0199966;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;425760;91250
54;PT;21428914;5262;Prni e;46,6300011;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;408820;85660
55;PT;21428922;8340;Prnomelj;110,8000031;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;515530;47740
56;PT;21428949;6271;Dekani;9,6800003;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;407250;45090
57;PT;21428957;5210;Deskle;38,4700012;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;393910;103150
58;PT;21428973;2253;Destrnik;34,2700005;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;568720;150610
59;PT;21428981;6215;Divara;38,5600014;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;420150;60260
60;PT;21428990;1233;Dob;22,6000004;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;471640;112940
61;PT;21429007;3224;Dobje pri Planini;16,4699993;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;533618;110753
62;PT;21429015;8257;Dobova;25,6700001;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;551030;83210
63;PT;21429023;1423;Dobovec;22,8600006;15. 04. 2005 00:00:00;15. 04. 2005 00:00:00;V;509014;104831
