FID;ENOTA;HS_MID;HS;HD;LABELA;UL_MID;NA_MID;OB_MID;PT_MID;PO_MID;D_OD;DV_OD;STATUS;Y_C;X_C
89187;HS;11616542;46;;46;16276073;10093201;11026826;21429392;10252806;2016-06-02;2016-06-02;V;576469;167629
90110;HS;19128946;61;A;61A;16275735;10092868;11026826;21432237;10252911;2005-11-25;2005-11-25;V;575103;165470
91044;HS;19128849;27;A;27A;16276073;10093201;11026826;21429392;10252806;2005-09-23;2005-09-23;V;575814;167641
91121;HS;19128717;88;A;88A;16276286;10093414;11026826;21429392;10252997;2005-07-01;2005-07-01;V;569156;168017
91123;HS;19128725;15;;15;16185078;10092752;11026826;21429392;10253101;2005-07-01;2005-07-01;V;576220;169586
91565;HS;19128911;48;B;48B;16276464;10093619;11026826;21429392;10252784;2005-10-24;2005-10-24;V;573968;166676
92065;HS;19128873;33;A;33A;16275662;10092817;11026826;21429392;10252725;2005-10-10;2005-10-10;V;574706;170409
92132;HS;19128679;117;A;117A;16276006;10093147;11026826;21432237;10255210;2005-06-17;2005-06-17;V;570602;163991
92188;HS;19128857;5;A;5A;16276197;10093333;11026826;21432237;10252938;2005-10-05;2005-10-05;V;571790;165172
92734;HS;19131645;9;;9;16276006;10093147;11026826;21432237;10255201;2009-07-14;2009-07-14;V;572259;163195
94214;HS;19138844;24;A;24A;16276197;10093333;11026826;21432237;10252938;2018-11-30;2018-11-30;V;572196;164879
97879;HS;19119505;28;A;28A;16276049;10093171;11026826;21432237;10259371;1998-09-24;1998-09-24;V;577604;162762
100378;HS;16563030;15;C;15C;16184934;10092752;11026826;21429392;10253217;1996-10-29;1997-02-12;V;576121;170924
100379;HS;16563048;15;B;15B;16184934;10092752;11026826;21429392;10253217;1996-10-29;1997-02-12;V;576126;170916
100896;HS;11589596;23;;23;16184861;10092752;11026826;21429392;16398071;1996-09-25;1996-09-30;V;576257;170720
100897;HS;11589618;25;;25;16184861;10092752;11026826;21429392;16398071;1996-09-25;1996-09-30;V;576274;170690
100898;HS;11589626;26;;26;16184861;10092752;11026826;21429392;16398071;1996-09-25;1996-09-30;V;576236;170693
102742;HS;11586899;6;;6;16184713;10092752;11026826;21429392;10253233;2009-11-05;2009-11-05;V;575717;171190
102897;HS;19131408;46;D;46D;16276154;10093295;11026826;21429392;10252792;2009-03-04;2009-03-04;V;576960;166497
102954;HS;19133494;23;A;23A;16276014;10093155;11026826;21429392;10638950;2011-04-26;2011-04-26;V;575769;169905
103123;HS;11643612;20;B;20B;16276464;10093619;11026826;21429392;10252784;2009-05-06;2009-05-06;V;574867;167562
103308;HS;19131424;62;B;62B;16276286;10093414;11026826;21429392;10253004;2009-03-30;2009-03-30;V;572818;166873
103446;HS;11617905;23;;23;16276103;10093236;11026826;21429392;10253144;2009-04-29;2009-04-29;V;572034;168779
103480;HS;11636390;3;E;3E;16276308;10093449;11026826;21432237;10255015;2010-06-02;2010-06-02;V;574604;161564
103578;HS;19131874;31;A;31A;16276146;10093287;11026826;21429392;10253012;2009-11-13;2009-11-13;V;574320;170159
103907;HS;19131807;33;A;33A;16276006;10093147;11026826;21432237;10255201;2009-10-07;2009-10-07;V;572153;162930
104411;HS;19131475;12;E;12E;16275905;10093031;11026826;21429392;10253306;2009-04-20;2009-04-20;V;573331;170180
